i,host
V-03_290548,Scheffersomyces_segobiensis
M_58_2_1_109276,Rana_temporaria
B2_LZ1_2_1_191175,Pampusana_beccarii
C1-DZ1-2-3_8270,Actenoides_hombroni
C1-UK-H1_161859,Cosmoglyphus_oudemansi
GM_YZ1_2_1_15607,homo_sapiens
GM1_UK9_2_44336,Heterocephalus_glaber
H_1_2_31_60170,Ardea_alba
L_YLD_2_1_145802,Carpoglyphus_lactis
M_15_2_191136,Aptinothrips_rufus_dataset
Nh55SPW2_56577,Coptis_teeta
X2_YS1_2_1_117120,Canna_indica
X2_YS1_2_1_95503,Nematopogon_robertella_dataset
XC3_LZ4_2_1_62961,Pergamasus_crassipes
C1-DZ1-2-3_48022,Epinephelus_lanceolatus
C1-DZ1-2-1_221641,Canna_indica
A2_YL1_2_28835,Aquilaria_sinensis
B1_UK_H4_48797,Aptinothrips_rufus_dataset
B1_UK_H1_43694,Tiliqua_scincoides
B1_YZ1_1_H_20780,Leiobunum_manubriatum
S1_LD1_2_1_151361,homo_sapiens
GL_X2_A5_2_5577,Caloenas_nicobarica
GL_X2_A3_5_36454,Rana_temporaria
GL_X2_A1_1_10329,Curcuma_longa
J2_LD3_2_1_81078,Canna_indica
M49_2_1_23839,Actenoides_hombroni
M49_2_1_66908,Carabus_banonii_dataset
GL_DL_2_33062,Allygidius_commutatus_dataset
GD1_DY1_2_1_193013,Actenoides_hombroni
D7_LD1_2_129533,Balaeniceps_rex
D7_XX1_2_37769,Ardea_alba
X4_PM1_2_1_192041,Chamaelirium_luteum
GQ1_UK3_2_1_16664,Aedes_aegypti
GL_YZ1_2_1_15160,Ardea_alba
X3_3_16375,Oncorhynchus_tshawytscha
X3_2_81737,Oncorhynchus_tshawytscha
X2_02_30430,Pampusana_beccarii
B2_YZ_H1_99649,Balaeniceps_rex
B2_YZ1_2_1_86205,Callipepla_californica_brunnescens
D6_YZ2_2_60678,Dermacentor_albipictus
B3_YZ3_2_54600,Balaeniceps_rex
XC2_YZ1_2_1_73630,Alca_torda
G1_YZ1_2_4_247627,Manihot_esculenta
G1_YZ1_1_1_216663,Coffea_arabica
X3_2_264455,Caloenas_nicobarica
Nh11SPW1_95705,Canna_indica
GH_XZ1_2_1_45618,Boana_sibleszi
C2-UK-H1_106071,Carpoglyphus_lactis
C2-YZ4-2-2_16784,Carpoglyphus_lactis
C1-TZ-H2_152812,Frankliniella_intonsa_dataset
L1_YZ4_2_32471,Pleurotus_ostreatus
A2_YZ3_2_74983,Rana_temporaria
GD1_DY1_2_1_61082,Canna_indica
B3_LZ2_2_6794,Areca_camarinensis
P1_XX1_2_103613,Geranium_maculatum
B3_XXZ1_2_1_92263,Suncus_etruscus
GW_YZ3_2_1_30643,Curcuma_longa
GW_YZ5_2_106411,Carpoglyphus_lactis
GW_YZ4_2_77950,Pampusana_beccarii
B3_LZ2_2_124272,Bombus_bimaculatus_dataset
B3_XXZ1_2_1_48084,Jacana_jacana
B3_LZ1_2_129420,Areca_camarinensis
GD1_LZ4_2_131912,Coptis_teeta
X4_LQ1_2_1_118775,Frankliniella_intonsa_dataset
J4_YZ1_2_52944,Aedes_aegypti
J4_YZ1_2_2741,Aedes_aegypti
GW_YZ1_2_72944,Todus_mexicanus
GW_YZ5_2_1461,Leiobunum_manubriatum
B1_UK_H12_557198,Solea_senegalensis
G1_TZ_H1_421226,Aspergillus_ochraceoroseus
Nh56SPW1_2086,Frankliniella_intonsa_dataset
GQ1_UK2_2_1_235894,Antennarius_striatus
GQ1_UK2_2_1_15833,Todus_mexicanus
G1_YZ3_2_1_82051,Canna_indica
G1_YZ3_2_1_74040,Erodium_cicutarium
G1_YZ1_2_4_39796,Leiobunum_manubriatum
C1-JB1-2-2_12297,Canna_indica
B1_YZ_H2_141042,Pampusana_beccarii
X2_01_271089,Bos_taurus
G1_XZ1_2_112114,Pampusana_beccarii
B2_TZ2_2_244931,Canna_indica
D5_YZ1_2_37553,Frankliniella_intonsa_dataset
A1_YZ1_2_1_128473,Aspergillus_thermomutatus
D4_JX1_2_1_21602,Frankliniella_intonsa_dataset
A1_TZ1_2_38596,Oncorhynchus_tshawytscha
GM_UK4_2_1_19856,Aspergillus_thermomutatus
GM_YZ2_2_1_28579,Pleurotus_ostreatus
GM1_YZ3_2_1_201820,Scophthalmus_maximus
GM1_UK7_2_1_152633,Balaeniceps_rex
GM_YZ2_2_1_42427,Pleurotus_ostreatus
GM_XX1_2_1_183842,Pleurotus_ostreatus
GM_UK1_2_1_108137,Pleurotus_ostreatus
GM_HX1_2_1_109045,Scophthalmus_maximus
C1-UK-H2_4875,Eratigena_atrica
C1-YZ1-H1_92653,Phylloscopus_plumbeitarsus
C2-UK-H1_170846,Cinnamomum_aromaticum
C2-UK-H1_170846,Persea_americana
GM1_UK7_2_1_78742,Canna_indica
Nh84SPW1_151842,Actenoides_hombroni
C1-DY1-2-2_70535,Talpa_europaea
B2_TZ_H1_321748,Canna_indica
B2_YZ_H1_63977,Heterocephalus_glaber
A1_YZ1_2_1_106847,Allygidius_commutatus_dataset
B1_UK_H7_7971,Pampusana_beccarii
B1_YZ_H2_105168,Pampusana_beccarii
B2_YZ_H1_120488,Frankliniella_intonsa_dataset
C1-YZ1-H3_76529,Aspergillus_ochraceoroseus
C1-YZ3-2-2_32768,Canna_indica
C1-YZ4-2-2_41750,Pseudeuparius_sepicola_dataset
C2-LD1-2-2_34287,Juglans_californica
D1_YZ1_2_3_29711,Manis_pentadactyla
D1_YZ1_2_3_79557,Pseudeuparius_sepicola_dataset
D3_YZ2_2_173382,Acheta_domesticus_dataset
GL_XX1_2_1_2292,Frankliniella_intonsa_dataset
GL_XX1_2_1_678,Canna_indica
GW_YZ1_2_33365,Manihot_esculenta
M_18_1_204141,Rhizoctonia_solani
Ns115SPO1_20671,Carpoglyphus_lactis
SJ1_Y1_1_100699,Areca_camarinensis
SZ1_YZ1_2_238240,Phalangium_opilio
SZ1_YZ2_2_103231,Phalangium_opilio
SZ1_YZ2_2_104518,Calochortus_balsensis
SZ2_YZ1_2_286438,Erodium_cicutarium
X2_01_93857,Santalum_album
X2_01_93857,Scurrula_parasitica
X2_04_111664,Erodium_cicutarium
X2_XX2_2_1_51340,Allygidius_commutatus_dataset
X3_1_37091,Pergamasus_crassipes
X5_YQ1_2_1_220156,Cyprinus_carpio
D6_XX1_2_22009,Cyrtopogon_pulchripes_dataset
GM_XX2_2_1_85209,Pergamasus_crassipes
X3_1_97441,Cosmoglyphus_oudemansi
L5_LZ1_2_1_151690,Erodium_cicutarium
J4_YZ1_2_76556,Stratiolaelaps_miles
GD1_LZ2_2_9419,Megalurothrips_usitatus_dataset
GD1_LZ3_2_462464,Pampusana_beccarii
B1_NC_1_223532,Pleurotus_ostreatus
B1_NC_1_3251,Pampusana_beccarii
B1_NC_2_12_42338,Pampusana_beccarii
B1_NC_2_2_170374,Pampusana_beccarii
B1_TZ_H1_237188,Balaeniceps_rex
B1_TZ_H1_457257,Nematopogon_robertella_dataset
B1_TZ_H3_143277,Scophthalmus_maximus
B1_UK_H1_452195,Balaeniceps_rex
B1_UK_H2_81707,Andrena_camellia_dataset
B1_UK_H7_76828,Pampusana_beccarii
B1_XZ_H4_28866,Heterobasidion_irregulare
B1_XZ_H5_152916,Pampusana_beccarii
B1_XZ_H5_156856,Caloenas_nicobarica
B1_XZ_H5_38516,Cryptotermes_longicollis_dataset
B1_YZ_H2_251330,Megalurothrips_usitatus_dataset
B1_YZ_H3_139389,Epinephelus_lanceolatus
B1_YZ_H3_87978,Ailurus_styani
B1_YZ1_1_H_193565,Megalurothrips_usitatus_dataset
B1_YZ1_2_1_13736,Balaeniceps_rex
B1_YZ1_2_1_182502,Andrena_camellia_dataset
B1_YZ1_2_3_139349,Cosmoglyphus_oudemansi
B2_DZ2_2_43414,Frankliniella_intonsa_dataset
B2_TZ_H1_172118,Leiobunum_manubriatum
B2_TZ_H1_78716,Rhinella_marina
C1-DY1-2-2_24648,Phoenix_dactylifera
D7_LD1_2_123923,Canna_indica
GA_UK16_2_34984,Pampusana_beccarii
GD1_QZ1_2_115541,Ardea_alba
GD1_QZ1_2_323440,Thelephora_terrestris
GD1_QZ1_2_81133,Heterocephalus_glaber
GD1_QZ2_2_97391,Pleurotus_ostreatus
GL_LD_2_1_47417,Adelges_abietis_dataset
GL_LD1_2_1_41993,Frankliniella_intonsa_dataset
GL_LZ1_2_209384,Megalurothrips_usitatus_dataset
GL_X2_A1_1_53772,Canna_indica
GL_X2_A1_1_8802,Aspergillus_ochraceoroseus
GL_X2_A1_3_51658,Frankliniella_intonsa_dataset
GL_X2_A3_5_8835,Canna_indica
GL_X2_A5_2_132674,Frankliniella_intonsa_dataset
GL_X2_A5_2_190646,Canna_indica
GL_XX2_2_1_39471,Dermacentor_albipictus
GL_XX2_2_1_96162,Santalum_album
GL_XX2_2_1_96162,Scurrula_parasitica
GL_YZ1_2_1_66250,Balaeniceps_rex
GM_HX1_2_1_116046,Dermacentor_albipictus
GM_UK3_2_1_133039,Chamaelirium_luteum
GM_YZ2_2_1_165509,Caloenas_nicobarica
GM_YZ3_2_1_103085,Frankliniella_intonsa_dataset
GM1_LZ3_2_1_22279,Stratiolaelaps_miles
GM1_UK7_2_1_245447,Pampusana_beccarii
GQ1_UK7_2_1_163052,Curcuma_longa
GW_HX1_2_18066,Solea_senegalensis
GW_XX1_2_160846,Armillaria_mellea
GW_YZ1_2_18080,Alca_torda
GW_YZ3_2_1_196871,Phoenix_dactylifera
GW_YZ4_2_102720,Antennarius_striatus
hlSP9O1_24638,Canna_indica
L2_LD2_2_134724,Balaeniceps_rex
M_47_2_1_166444,Perca_fluviatilis
M_47_2_1_166444,Percidae
Nh25SPW1_17568,Pleurotus_ostreatus
Nh68SPW1_31818,Solea_senegalensis
Ns103SPW1_190262,Rhizoctonia_solani
SQ1_Z1_2_97774,Pleurotus_ostreatus
ST1_S1_1_73300,Rhinella_marina
ST1_S1_1_75312,Megalurothrips_usitatus_dataset
SZ1_YZ2_2_51678,Frankliniella_intonsa_dataset
SZ1_YZ2_2_65417,Megalurothrips_usitatus_dataset
SZ4_YZ1_1_298213,Alexandromys_fortis
SZ4_YZ1_1_83224,Frankliniella_intonsa_dataset
X2_011_200621,Scophthalmus_maximus
X2_02_3605,Phoenix_dactylifera
X2_026_160396,Gentiana_macrophylla
X3_JX1_2_1_7963,Frankliniella_intonsa_dataset
X4_LQ1_2_1_128244,Frankliniella_intonsa_dataset
XC3_LZ4_2_1_22700,Caloenas_nicobarica
GQ1_YZ1_2_1_81369,Frankliniella_intonsa_dataset
B1_UK_H3_302413,Canna_indica
B1_NC_2_2_30116,Canna_indica
B1_NC_1_21658,Canna_indica
B3_LZ2_2_41075,Carpoglyphus_lactis
X2_012_262912,Pampusana_beccarii
X3_3_46939,Cyprinus_carpio
X2_01_255209,Epinephelus_lanceolatus
X2_05_97793,Frankliniella_intonsa_dataset
B1_XXZ_H5_250144,Boana_sibleszi
C2-LD1-2-3_1469,Bombus_bimaculatus_dataset
D1_LW1_2_1_259339,Megalurothrips_usitatus_dataset
D3_XX1_2_54915,Megalurothrips_usitatus_dataset
GD2_XX1_2_1_66873,Stratiolaelaps_miles
GL_XX2_2_1_174508,Anania_coronata_dataset
Nh14SPW1_42014,Calochortus_balsensis
Nh54SPW1_14164,Boa_constrictor
SJ1_Z1_1_330906,Megalurothrips_usitatus_dataset
C1-JB1-2-1_64705,Talpa_europaea
C1-JB1-2-1_20370,Caloenas_nicobarica
B1_YZ1_2_1_102463,Tiliqua_scincoides
GW_YZ5_2_8323,Andrena_camellia_dataset
D1_YZ1_2_3_32140,Erodium_cicutarium
C3-YZ4-2-1_58244,Carpoglyphus_lactis
Nq41SPO1_24760,Rhinella_marina
Nq41SPO1_176012,Santalum_album
Nq41SPO1_176012,Scurrula_parasitica
Nq41SPO1_150841,Nyssa_sinensis
J4_YZ1_2_19699,Ornithodoros_gurneyi
GL_X2_A3_5_55809,Aptinothrips_rufus_dataset
YQ_E1_2_56298,Periplaneta_americana_dataset
A1_YZ1_2_1_107458,Heterocephalus_glaber
A2_YL1_2_174398,Aptinothrips_rufus_dataset
A2_YL1_2_51627,Gomphocerus_sibiricus_dataset
A2_YZ1_2_57037,Pleurotus_ostreatus
A2_YZ3_2_77791,Dermacentor_albipictus
B1_LD1_2_1_226923,Perca_fluviatilis
B1_LD1_2_1_226923,Percidae
B1_LD1_2_1_8651,Heterocephalus_glaber
B1_LD1_2_3_292259,Canna_indica
B1_TZ_H1_277929,Megalurothrips_usitatus_dataset
B1_TZ_H2_117166,Antennarius_striatus
B1_UK_H10_257306,Oncorhynchus_tshawytscha
B1_UK_H4_143978,Heterobasidion_irregulare
B1_XZ_H2_220732,Phlebiopsis_gigantea
B1_XZ_H4_197903,Phlebiopsis_gigantea
B1_XZ_H5_30537,Megalurothrips_usitatus_dataset
B1_YZ_H1_61359,Frankliniella_intonsa_dataset
B1_YZ1_2_1_90696,Frankliniella_intonsa_dataset
B1_YZ1_2_2_17503,Antennarius_striatus
B1_YZ1_2_2_65203,Scophthalmus_maximus
B1_YZ2_2_79347,Carpoglyphus_lactis
B1YZ_2_4_179303,Megalurothrips_usitatus_dataset
B2_YZ1_2_1_94805,Phoenix_dactylifera
C1-LIK-H3_263247,Pampusana_beccarii
C1-YZ1-H1_63137,Carpoglyphus_lactis
C1-YZ4-2-2_13103,Phoenix_dactylifera
C2-YZ4-2-1_22694,Alca_torda
C2-YZ5-H2_58782,Bombus_bimaculatus_dataset
C3-YZ4-2-1_27480,Heterocephalus_glaber
D2_HX1_2_1_7447,Cinnamomum_aromaticum
D2_HX1_2_1_7447,Persea_americana
D3_LD1_2_1_134443,Megalurothrips_usitatus_dataset
D3_LD1_2_1_136702,Phoenix_dactylifera
D3_LD1_2_1_136968,Megalurothrips_usitatus_dataset
D3_LD1_2_1_185597,Aspergillus_thermomutatus
D3_LD1_2_1_97283,Megalurothrips_usitatus_dataset
D3_UK1_2_1_209468,Megalurothrips_usitatus_dataset
D4_LZ1_2_1_120281,Megalurothrips_usitatus_dataset
D5_TZ1_2_75905,Heterocephalus_glaber
D6_LZ2_2_112045,Aptinothrips_rufus_dataset
D7_LD1_2_76860,Aptinothrips_rufus_dataset
D7_LD1_2_83608,Alca_torda
D7_XX1_2_82993,Megalurothrips_usitatus_dataset
G1_LD_H2_281568,Megalurothrips_usitatus_dataset
GA_UK16_2_8049,Megalurothrips_usitatus_dataset
GD1_LZ2_2_142894,Antennarius_striatus
GD1_LZ2_2_418691,Rhinella_marina
GD1_LZ2_2_442825,Canna_indica
GD1_LZ3_2_17553,Alca_torda
GD1_LZ4_2_182872,Solea_senegalensis
GD1_QZ1_2_124300,Viviania_marifolia
GD1_QZ1_2_124333,Viviania_marifolia
GD1_QZ2_2_314263,Cyprinus_carpio
GH_XZ1_2_1_56628,Aptinothrips_rufus_dataset
GL_X2_A1_1_22951,Rousettus_aegyptiacus
GL_X2_A3_5_4993,Megalurothrips_usitatus_dataset
GL_XX2_2_1_168211,Phlebiopsis_gigantea
GL_XX2_2_1_184166,Megalurothrips_usitatus_dataset
GL_YZ1_2_1_8489,Frankliniella_intonsa_dataset
GL_YZ4_2_1_203567,Anas_acuta
GM_YZ2_2_1_8976,Heterocephalus_glaber
GM1_LZ1_2_1_84050,Pampusana_beccarii
GM1_UK5_2_1_111288,Zingiber_officinale
GM1_UK6_2_1_123895,Coffea_arabica
GM1_UK6_2_1_141071,Aspergillus_ochraceoroseus
GM1_UK8_2_105052,Frankliniella_intonsa_dataset
GM1_YZ3_2_1_109348,Canna_indica
GM1_YZ4_2_1_360627,Pampusana_beccarii
GQ1_UK2_2_1_84127,Aspergillus_ochraceoroseus
GQ1_UK2_2_1_9539,Aspergillus_ochraceoroseus
GQ1_YZ1_2_1_159715,Aspergillus_thermomutatus
GQ2_UK4_2_1_127671,Frankliniella_intonsa_dataset
GQ2_UK4_2_1_136377,Cyprinus_carpio
GQ2_UK4_2_1_29793,Todus_mexicanus
GQ2_UK4_2_1_7571,Antennarius_striatus
GQ2_UK4_2_1_9732,Aedes_aegypti
GW_XX1_2_13038,Dermacentor_albipictus
GW_YZ1_2_64008,Acomys_cahirinus
GW_YZ1_2_95330,Periplaneta_americana_dataset
GW_YZ3_2_1_201920,Megalurothrips_usitatus_dataset
GW_YZ3_2_1_271270,Bos_taurus
GW_YZ3_2_1_28927,Canna_indica
H-7-1-1_209199,Perca_fluviatilis
H-7-1-1_209199,Percidae
hlSP9O1_23744,Cyprinus_carpio
L1_YZ1_2_1_190586,Oncorhynchus_tshawytscha
ld32SPW1_15001,Heterobasidion_irregulare
M_14_2_88703,Aedes_aegypti
M_17_2_1_84382,Andrena_camellia_dataset
M_46_2_2_104406,Aedes_aegypti
Nh12SPO4_96922,Carpinus_betulus
Nh57SPW1_166096,Alca_torda
P1_LZ1_2_1_130990,Rhizoctonia_solani
SQ1_Z1_3_23037,Frankliniella_intonsa_dataset
ST1_B1_2_75758,Aspergillus_thermomutatus
SZ1_YZ2_2_70841,Stephania_cephalantha
SZ1_YZ2_2_93645,Alca_torda
X1_LD1_2_1_174521,Coffea_arabica
X2_AZ1_2_1_265762,Canna_indica
X2_YZ_1_2_1_268241,Ceratosolen_fusciceps_dataset
X3_2_231043,Phoenix_dactylifera
X4_LZ2_2_1_6702,Carpoglyphus_lactis
XC1_YZ2_2_1_80385,Frankliniella_intonsa_dataset
XC2_YZ1_2_1_90580,Oncorhynchus_tshawytscha
YQ_D1_1_220401,Leiobunum_manubriatum
G1_YZ1_2_4_217163,Phoenix_dactylifera
X3_1_71950,Nematopogon_robertella_dataset
Ns103SPW1_63136,Canna_indica
